HASH,METHOD,ADDONS,STATS,DATE
c79870838ebb9ef921be27c4305b4864b6eb9e821f3fdb2b3f355508b7d97f24e3fb1022184bcb1f4ab84f80a21b3b7fff36a70c8f1a6d39bc272ad3f496dfa2,autoreconf -i && ./configure,,OK,19032022
7ffbe12e7282c3ccf090fbf588755ccc7f4e3b64ced903cdd34be0b42f947bd87adef414e3a29aace6da547d876989fb16bd79f716ab265cdf51d94f3d768be9,SKEEP,NULL,,19032022
3e43c992563d7bdfa0a04bcd7e3510552660f16ee35e8193c54038159476bc2142639806ddb7aeeb02a92562e0b3a6e1e7476949dba1416296f7395c3a243230,SKEEP,NULL,,19032022
77b5bea6a7254372a97152a175d137556cc7f022b1bc666b82b6d78797d089dbfcdd198d7af590049cf9deaaad03361b48c1a1fc038fd0b0434d6af4fa540599,./autogen.sh && ./configure,,OK,19032022
77b5bea6a7254372a97152a175d137556cc7f022b1bc666b82b6d78797d089dbfcdd198d7af590049cf9deaaad03361b48c1a1fc038fd0b0434d6af4fa540599,autoreconf -i && ./configure,,OK,19032022
77b5bea6a7254372a97152a175d137556cc7f022b1bc666b82b6d78797d089dbfcdd198d7af590049cf9deaaad03361b48c1a1fc038fd0b0434d6af4fa540599,cmake ./,,ERR,19032022
97fbba49649fd9852def8c54abb1f64b754d245d6457d14c32ca33fac7409b6019e4b02be4a27bd0ce384e3f99794ae1893f068f3e444809772db394135d1535,cmake ./,,OK,19032022
aa7a0eca232843d20437832a0a104148a81432fe8864015076f04a449bee34a459d7e502357fb943a9b2d10a983b4a02236596fe1d61d7a444db5fc59cc6d2e3,cmake ./,,OK,19032022
00b0882dcfbcddb9c62083984c61b20319ca6cf525d0d238a1a6539544e36cbf477ae052bf9859e9d848761a527841d3c1150893af33d4087bf091fe0d1c39da,autoreconf -i && ./configure,,OK,19032022
21f6354551484d3624cac1fd36f6cdf977aabaeb4ada23930d20a44b7179e5703de672554bbea5e56b0517360d0a9dfb018d36181e7f188fd4adbfbcf5f9b28e,./configure,,ERR,19032022
21f6354551484d3624cac1fd36f6cdf977aabaeb4ada23930d20a44b7179e5703de672554bbea5e56b0517360d0a9dfb018d36181e7f188fd4adbfbcf5f9b28e,cmake ./,,ERR,19032022
1c5c54ed4f4a66b25b0181fc007387111c8c73d79e0d4ad4990b01d72c18b3cf6eb111bf057f5a4a769d0dbad74912326b72dd83c86f6d99346cfe142f8b4996,SKEEP,NULL,,19032022
5e2bc681018333e8e50d6f8a5fe89b6c92ca64c5d8e0acd718009f750c5915154d540c428e6888263627f24ea7f1ac0b30b9e9147933da03449a83fb406d56bb,SKEEP,NULL,,19032022
813aebadfd5164fe2d278522459919ec2a49625ec019b6494089085faa1a6f746d95482f4ea4674192df2413b14950a7f110f071a77983b2f09a11ad8820b562,SKEEP,NULL,,19032022
d7cd9df0be3e170475d0fda07fe9ba938eca7f93a127eb063bd6b273e6b63f9ae680303fc139e410127c361c7dfc0ffcf789a0b27f8ef1a38cba1891f4500cb1,autoreconf -i && ./configure,,OK,19032022
9d659c989c357839a22a12470f0d93f8133ac51915b34dd2fcb08c061fbd10f6ca35eceb2d2ea8844ae0d049e0f1f67a0aa32c7131cbfc8587757b41b9afd81a,./autogen.sh && ./configure,,OK,19032022
9d659c989c357839a22a12470f0d93f8133ac51915b34dd2fcb08c061fbd10f6ca35eceb2d2ea8844ae0d049e0f1f67a0aa32c7131cbfc8587757b41b9afd81a,autoreconf -i && ./configure,,OK,19032022
9d659c989c357839a22a12470f0d93f8133ac51915b34dd2fcb08c061fbd10f6ca35eceb2d2ea8844ae0d049e0f1f67a0aa32c7131cbfc8587757b41b9afd81a,cmake ./,,ERR,19032022
c57ae9efe1a39a59cc2fa6b8aed3a5cd55783f273a6ce80aad34971fc5e2d146557e9abac33a7e67f667b7bbd8960358f9f6ae4afb5dd07f8ea933373888523e,cmake ./,,OK,19032022
21419c396936c56c489d53d5a1925491475d1c6ce5f5e246280633d30044b9378947ba6b918b1d6cc1f683a2baf03f5c2d647a349d303c9b032df12de59f1574,SKEEP,NULL,,19032022
6b78fdf023c64ce900d1e76a32d221a0c7d791b0d273af7c9c7589c9a625ff647ef46e077cac10c0bd1ec5b4479d84c987728d3741967116b8412a26e3acd6c2,cmake ./,,ERR,19032022
d263d8856edc6a3c7ce4566c4d5a36609c05ec20ea3b65574f3243de5878a16a685d49e53d4dc914098146d78af562850cadc1877742b0f63e34781d0ed5da6a,NULL,NULL,NULL,19032022
